,,,,wins,opp,,,,,,,,,,,,,,
"Sun
10/18",SF,@,LA,l,42,24,50,198,8.3,1,4.2,3,12.5,,,,52.4,192,1
"Sun
10/11",SF,@,GB,l,24,31,51.6,192,6.2,0,0,0,0,,,,70.9,231,1
"Sun
10/4",SF,vs,CHI,w,21,33,45.5,252,7.6,3,9.1,0,0,,,,102.1,256,3
"Sun
9/27",SF,vs,STL,l,23,30,46.7,168,5.6,1,3.3,1,3.3,,,,61.5,168,1
"Sun
9/20",SF,@,PHI,w,24,26,42.3,267,10.3,0,0,1,3.8,,,,64.1,275,0
"Sun
9/13",SF,vs,DET,l,26,33,45.5,177,5.4,2,6.1,0,0,,,,82.5,184,2
"Sun
12/12",SF,@,CHI,l,61,37,51.4,250,6.8,2,5.4,1,2.7,,,,79.8,263,2
"Sun
12/5",SF,vs,DET,w,14,35,51.4,209,6,1,2.9,1,2.9,,,,67.4,209,1
"Sun
11/28",SF,@,MIN,w,24,19,52.6,209,11,5,26.3,0,0,,,,131.4,209,5
"Sun
11/21",SF,vs,LA,w,27,37,62.2,214,5.8,2,5.4,2,5.4,,,,73.5,214,2
"Sun
11/14",SF,@,DET,w,21,32,62.5,196,6.1,1,3.1,2,6.3,,,,64.1,194,1
"Sun
10/31",SF,vs,BAL,l,34,28,71.4,289,10.3,2,7.1,0,0,,,,128.4,302,2
"Sun
10/24",SF,vs,MIN,l,42,29,65.5,264,9.1,3,10.3,1,3.4,,,,114.7,267,3
"Sun
10/17",SF,@,LA,w,21,26,69.2,215,8.3,3,11.5,2,7.7,,,,100.6,215,3
"Sun
10/10",SF,@,GB,l,27,38,55.3,198,5.2,1,2.6,1,2.6,,,,67.7,204,1
"Sun
10/3",SF,@,BAL,l,27,36,50,268,7.4,2,5.6,3,8.3,,,,58.6,268,2
"Sun
9/26",SF,vs,PIT,w,17,20,80,236,11.8,1,5,0,0,,,,132.5,259,2
"Sun
9/19",SF,vs,CHI,w,24,20,70,269,13.5,4,20,0,0,,,,152.1,273,4
"Sun
12/18",SF,vs,BAL,l,30,40,47.5,224,5.6,2,5,1,2.5,,,,71.3,225,2
"Sun
12/11",SF,vs,CHI,w,14,23,69.6,191,8.3,1,4.3,1,4.3,,,,91,198,1
"Sun
12/4",SF,@,GB,l,20,33,42.4,183,5.5,1,3,2,6.1,,,,45.4,183,1
"Thu
11/24",SF,@,DET,w,14,26,53.8,254,9.8,2,7.7,3,11.5,,,,73.7,254,2
"Sun
11/20",SF,vs,PHI,l,35,40,55,245,6.1,2,5,2,5,,,,69.3,245,2
"Sun
11/6",SF,vs,LA,w,13,31,67.7,277,8.9,1,3.2,2,6.5,,,,79.6,286,3
"Sun
10/30",SF,@,MIN,l,28,23,52.2,110,4.8,0,0,1,4.3,,,,47.4,110,0
"Sun
10/23",SF,vs,DET,w,24,35,51.4,221,6.3,1,2.9,3,8.6,,,,45.1,222,2
"Sun
10/16",SF,@,ATL,w,7,24,66.7,248,10.3,3,12.5,0,0,,,,140.3,248,3
"Sun
10/9",SF,vs,GB,w,20,4,75,17,4.3,0,0,0,0,,,,82.3,17,0
"Fri
9/30",SF,@,LA,l,34,31,35.5,138,4.5,0,0,4,12.9,,,,10.6,138,0
"Sun
9/25",SF,@,BAL,l,36,25,64,159,6.4,1,4,1,4,,,,78.6,159,1
"Sun
12/3",SF,vs,CHI,l,28,27,37,166,6.1,1,3.7,1,3.7,,,,55.5,166,1
"Sun
11/19",SF,@,GB,l,13,48,41.7,170,3.5,0,0,2,4.2,,,,34.2,211,0
