,,,,wins,,,,,,,,,,,,,Rating,,
"Sun
10/25",SF,vs,DEN,W,16,35,45.7,234,6.7,1,2.9,0,0,,,,77.6,234,1
"Sun
10/11",SF,@,LA,W,13,20,65,193,9.7,1,5,0,0,,,,113.1,204,2
"Sun
10/4",SF,@,ATL,L,16,27,59.3,182,6.7,1,3.7,0,0,,,,91.9,182,1
"Sun
9/27",SF,vs,CLE,W,20,31,64.5,277,8.9,3,9.7,0,0,,,,125.3,284,3
"Sun
9/20",SF,vs,WAS,W,17,21,81,178,8.5,1,4.8,0,0,,,,117.9,178,1
"Sun
12/21",SF,vs,PHI,W,8,14,57.1,77,5.5,1,7.1,1,7.1,,,,66.7,77,1
"Sat
12/6",SF,vs,CHI,W,6,14,42.9,81,5.8,1,7.1,0,0,,,,85.7,81,1
"Sun
11/23",SF,@,NO,L,15,24,62.5,290,12.1,2,8.3,1,4.2,,,,114.9,290,2
"Sun
11/16",SF,vs,BAL,W,29,37,78.4,290,7.8,2,5.4,1,2.7,,,,106.1,305,2
"Sun
11/9",SF,@,LA,L,25,42,59.5,356,8.5,3,7.1,2,4.8,,,,91,368,3
"Sun
10/19",SF,vs,ATL,L,19,31,61.3,159,5.1,0,0,2,6.5,,,,47.6,159,0
"Sun
10/12",SF,vs,LA,L,20,51,39.2,254,5,3,5.9,3,5.9,,,,50.6,263,3
"Sun
9/28",SF,@,GB,L,15,33,45.5,282,8.5,1,3,1,3,,,,73,281,1
"Sun
9/21",SF,@,ATL,L,21,39,53.8,212,5.4,0,0,3,7.7,,,,37.6,237,0
"Sun
12/15",SF,@,ATL,W,13,27,48.1,216,8,0,0,2,7.4,,,,44.7,216,0
"Sun
12/8",SF,vs,MIN,L,17,25,68,160,6.4,1,4,1,4,,,,82.1,170,1
"Sun
12/1",SF,vs,GB,W,24,39,61.5,301,7.7,3,7.7,1,2.6,,,,100.5,310,3
"Sun
11/24",SF,@,PIT,W,16,25,64,282,11.3,2,8,1,4,,,,112.4,290,2
"Sun
11/10",SF,@,CHI,L,9,26,34.6,199,7.7,2,7.7,4,15.4,,,,48.9,199,2
"Sun
11/3",SF,vs,CLE,L,23,37,62.2,241,6.5,3,8.1,2,5.4,,,,85.5,231,3
"Sun
10/27",SF,@,DET,W,22,37,59.5,239,6.5,1,2.7,0,0,,,,87.6,234,1
"Sun
10/20",SF,@,NYG,W,15,24,62.5,179,7.5,2,8.3,0,0,,,,113,185,2
"Sun
10/13",SF,vs,BAL,L,19,36,52.8,266,7.4,1,2.8,3,8.3,,,,51.4,276,1
"Sun
10/6",SF,@,LA,L,10,15,66.7,136,9.1,1,6.7,0,0,,,,117.6,136,1
"Sun
9/29",SF,vs,ATL,W,17,20,85,191,9.6,3,15,1,5,,,,125.2,206,3
"Sun
9/22",SF,vs,STL,W,16,27,59.3,236,8.7,3,11.1,2,7.4,,,,94.1,236,3
"Sun
9/15",SF,@,BAL,L,23,42,54.8,200,4.8,0,0,3,7.1,,,,37.8,213,0
"Sun
12/3",SF,vs,CHI,L,10,27,37,166,6.1,1,3.7,1,3.7,,,,55.5,166,1
"Sun
11/19",SF,@,GB,L,20,48,41.7,170,3.5,0,0,2,4.2,,,,34.2,211,0
"Sun
11/12",SF,@,WAS,L,20,38,52.6,174,4.6,1,2.6,1,2.6,,,,62.8,199,2
"Sun
11/5",SF,vs,LA,L,17,34,50,175,5.1,1,2.9,2,5.9,,,,50.5,187,1
"Sun
10/29",SF,vs,DET,L,8,29,27.6,119,4.1,0,0,4,13.8,,,,4.6,119,0
